DecimalDay,TemperatureF
0.000694444,42.8
0.0138889,42.8
0.0354167,42.08
0.0701389,39.2
0.0770833,39.92
0.11875,37.94
0.160417,35.96
0.202083,35.96
0.24375,35.96
0.285417,35.96
0.327083,35.06
0.36875,41
0.410417,44.96
0.452083,48.02
0.49375,51.98
0.535417,53.06
0.577083,53.96
0.61875,53.96
0.660417,53.06
0.702083,53.06
0.74375,48.02
0.785417,44.06
0.827083,42.08
0.86875,41
0.910417,39.02
0.952083,37.94
0.99375,35.96
1.03542,33.08
1.07708,33.98
1.11875,32
1.16042,30.92
1.20208,30.92
1.24375,30.02
1.28542,28.94
1.32708,30.92
1.36875,33.98
1.41042,42.08
1.45208,46.94
1.49375,50
1.53542,51.08
1.57708,53.06
1.61875,55.04
1.66042,55.04
1.70208,51.98
1.74375,50
1.78542,48.92
1.82708,48.02
1.86875,44.96
1.91042,44.06
1.95208,42.98
1.99375,42.98
2.03542,42.08
2.07708,42.98
2.11875,42.98
2.16042,42.98
2.18819,44.6
2.19722,44.6
2.20208,44.06
2.21875,44.6
2.24375,44.06
2.28542,44.06
2.32708,44.06
2.36875,44.96
2.41042,46.04
2.45208,46.94
2.49375,48.02
2.53542,48.92
2.57708,48.92
2.61875,48.02
2.66042,46.94
2.70208,46.94
2.73819,46.4
2.74375,46.04
2.75208,46.4
2.78542,44.96
2.82708,44.06
2.86875,44.06
2.89306,44.6
2.91042,44.96
2.94097,42.8
2.95208,42.08
2.99375,41
3.00486,39.2
3.01528,39.2
3.03542,39.92
3.07708,39.02
3.11875,39.02
3.16042,37.94
3.20208,37.04
3.24375,35.96
3.28542,33.98
3.29167,33.8
3.32708,32
3.36875,33.08
3.41042,35.96
3.45208,39.02
3.49375,41
3.53542,42.98
3.57708,44.96
3.61875,46.94
3.66042,46.94
3.70208,46.94
3.74375,44.06
3.78542,42.08
3.82708,39.92
3.86875,37.94
3.91042,37.04
3.95208,35.06
3.99375,35.06
4.03542,32
4.07708,30.92
4.11875,30.02
4.16042,30.02
4.20208,28.94
4.24375,26.96
4.28542,28.04
4.32708,28.94
4.36875,33.08
4.41042,37.04
4.45208,39.02
4.49375,41
4.53542,44.06
4.57708,46.94
4.61875,46.94
4.66042,48.02
4.70208,46.94
4.74375,44.96
4.78542,42.98
4.82708,42.08
4.86875,39.92
4.91042,39.02
4.95208,37.04
4.99375,35.96
5.03542,37.04
5.07708,35.96
5.11875,37.04
5.16042,39.02
5.20208,39.92
5.22986,39.2
5.24375,39.92
5.28542,41
5.32708,41
5.36875,42.08
5.38958,44.6
5.41042,44.96
5.41528,44.6
5.45208,46.94
5.49375,48.02
5.53542,50
5.55417,50
5.57708,48.92
5.61875,48.92
5.62847,50
5.66042,50
5.70208,50
5.72222,50
5.74375,50
5.78542,51.08
5.82708,51.08
5.84306,51.8
5.86875,51.08
5.87361,51.8
5.89167,51.8
5.90347,51.8
5.91042,51.08
5.91667,51.8
5.95208,50
5.96806,50
5.99375,50
6.03542,50
6.05,50
6.07292,51.8
6.07708,51.08
6.08819,51.8
6.10417,51.8
6.11875,51.98
6.16042,53.06
6.16875,51.8
6.18333,46.4
6.20208,44.96
6.21319,42.8
6.24375,39.92
6.28264,35.6
6.28542,35.06
6.29097,33.8
6.31736,33.8
6.32708,33.08
6.36875,30.92
6.38403,30.2
6.39583,30.2
6.41042,30.02
6.45208,32
6.49375,33.98
6.53542,35.96
6.57708,39.02
6.61875,39.02
6.66042,37.94
6.70208,35.06
6.74375,33.08
6.78542,32
6.82708,30.92
6.86875,30.02
6.91042,30.02
6.95208,28.94
6.99375,28.04
7.03542,26.96
7.07708,26.06
7.11875,26.06
7.16042,24.98
7.20208,24.08
7.24375,24.08
7.28542,24.08
7.32708,24.08
7.36875,24.98
7.41042,26.06
7.45208,26.06
7.49375,26.96
7.53542,28.94
7.57708,30.02
7.61875,33.08
7.66042,32
7.70208,32
7.74375,30.92
7.78542,30.02
